nom_commune_postal,latitude,longitude,code_postal,code_commune_INSEE,nom_departement,nom_département
FONTAINE UTERTE,49.9252841672,3.36796234214,02110,02323,Aisne,Aisne
FONTENELLE,50.0309452362,3.84625365761,02170,02324,Aisne,Aisne
FONTENOY,49.4099999437,3.19454758662,02290,02326,Aisne,Aisne
FORESTE,49.8055794029,3.09615936707,02590,02327,Aisne,Aisne
FOSSOY,49.044990122,3.48523126715,02650,02328,Aisne,Aisne
FOURDRAIN,49.6194184451,3.46049121118,02870,02329,Aisne,Aisne
FRANCILLY SELENCY,49.8546596853,3.22822036861,02760,02330,Aisne,Aisne
FRANQUEVILLE,49.8164125588,3.79770261738,02140,02331,Aisne,Aisne
FRESNES EN TARDENOIS,49.1427948273,3.54893406985,02130,02332,Aisne,Aisne
FRESNES,49.5548078585,3.37018022508,02380,02333,Aisne,Aisne
FRESNOY LE GRAND,49.9540724704,3.41858032499,02230,02334,Aisne,Aisne
FRESSANCOURT,49.6284783975,3.42727910427,02800,02335,Aisne,Aisne
FRIERES FAILLOUEL,49.6835552621,3.23680430341,02700,02336,Aisne,Aisne
FROIDESTREES,49.9427092508,3.91032175248,02260,02337,Aisne,Aisne
FROIDMONT COHARTILLE,49.6818768902,3.72070844849,02270,02338,Aisne,Aisne
GANDELU,49.0832089104,3.18156231552,02810,02339,Aisne,Aisne
GAUCHY,49.8234688599,3.28649189661,02430,02340,Aisne,Aisne
GERCY,49.8158108138,3.87133277309,02140,02341,Aisne,Aisne
GERGNY,49.9326319225,3.92972384714,02260,02342,Aisne,Aisne
GERMAINE,49.8124843843,3.11903042429,02590,02343,Aisne,Aisne
GERNICOURT,49.3952382352,3.86382109909,02160,02344,Aisne,Aisne
GIBERCOURT,49.7393520234,3.28269647304,02440,02345,Aisne,Aisne
GIZY,49.6104960814,3.76786152197,02350,02346,Aisne,Aisne
GLAND,49.0579740538,3.45713931457,02400,02347,Aisne,Aisne
GOUDELANCOURT LES BERRIEUX,49.4946764579,3.85858670968,02820,02349,Aisne,Aisne
GOUDELANCOURT LES PIERREPONT,49.6783296824,3.85162740345,02350,02350,Aisne,Aisne
GOUSSANCOURT,49.1608459229,3.65658681802,02130,02351,Aisne,Aisne
